Column1,Year,GDP_Billion_USD,PerCapita_Rupees,Growth_Percent,GDP_Million_USD,China
1,2020,2667.69,154640,-6.6,2667690,6.775555628
2,2019,2831.55,165760,3.74,2831550,6.978780027
3,2018,2702.93,159840,6.45,2702930,7.461900282
4,2017,2651.47,158480,6.8,2651470,7.778724094
5,2016,2294.8,138640,8.26,2294800,7.856174271
6,2015,2103.59,128480,8,2103590,9.461335887
7,2014,2039.13,125920,7.41,2039130,10.59627198
8,2013,1856.72,116000,6.39,1856720,9.402699728
9,2012,1827.64,115520,5.46,1827640,9.670245886
10,2011,1823.05,116640,5.24,1823050,14.14998549
11,2010,1675.62,108640,8.5,1675620,12.67467517
12,2009,1341.89,88160,7.86,1341890,11.45823846
13,2008,1198.9,79920,3.09,1198900,10.13140736
14,2007,1216.74,82240,7.66,1216740,10.11819286
15,2006,940.26,64560,8.06,940260,9.243393266
16,2005,820.38,57200,7.92,820380,8.312638871
19,2002,514.94,37680,3.8,514940,8.586432018
20,2001,485.44,36160,4.82,485440,7.737003058
21,2000,468.39,35440,3.84,468390,7.920792079
22,1999,458.82,35360,8.85,458820,9.287646528
0,1998,421.35,33040,6.18,421350,9.976199921
24,1997,415.87,33200,4.05,415870,11.03281216
25,1996,392.9,32000,7.55,392900,13.07270916
26,1995,360.28,29920,7.57,360280,13.92907801
27,1994,327.28,27680,6.66,327280,14.29961089
28,1993,279.3,24080,4.75,279300,9.361702128
29,1992,288.21,25360,5.48,288210,3.941630598
30,1991,270.11,24240,1.06,270110,4.206334355
31,1990,320.98,29440,5.53,320980,11.22259498
33,1988,296.59,28320,9.63,296590,11.62822257
34,1987,279.03,27200,3.97,279030,8.935064935
35,1986,248.99,24800,4.78,248990,13.43547437
36,1985,232.51,23680,5.25,232510,15.232561
37,1984,212.16,22160,3.82,212160,10.72737068
38,1983,218.26,23280,7.29,218260,9.059284171
39,1982,200.72,21920,3.48,200720,5.112761091
40,1981,193.49,21600,6.01,193490,7.834145016
41,1980,186.33,21360,6.74,186330,7.59132468
42,1979,152.99,17920,-5.24,152990,11.32597799
43,1978,137.3,16480,5.71,137300,7.570000001
44,1977,121.49,14880,7.25,121490,-1.57
45,1976,102.72,12880,1.66,102720,8.719999997
46,1975,98.47,12640,9.15,98470,2.310000003
47,1974,99.53,13040,1.19,99530,7.760000001
48,1973,85.52,11520,3.3,85520,3.81
49,1972,71.46,9840,-0.55,71460,7.059999999
50,1971,67.35,9520,1.64,67350,19.3
51,1970,62.42,8960,5.16,62420,16.94
52,1969,58.45,8640,6.54,58450,-4.09999999
53,1968,53.09,8000,3.39,53090,-5.77
54,1967,50.13,7680,7.83,50130,10.65
55,1966,45.87,7200,-0.06,45870,16.95
57,1964,56.48,9280,7.45,56480,18.17999999
58,1963,48.42,8080,5.99,48420,10.3
60,1961,39.23,6800,3.72,39230,-5.57999999
61,1960,37.03,6560,0,37030,-27.27
